
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
60:38:E0:11:9B:B2, 2017-11-07 01:36:06, 2017-11-07 02:34:37,  1,  54, WEP, WEP, OPN, -64,     7225,    18670,   0.  0.  0.  0,  12, cs461mp3fa17, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
74:E5:43:CA:1A:B5, 2017-11-07 02:19:48, 2017-11-07 02:32:20, -87,      115, 60:38:E0:11:9B:B2,
2C:F0:EE:0D:62:2C, 2017-11-07 01:41:56, 2017-11-07 02:31:06, -42,      597, 60:38:E0:11:9B:B2,
C0:F8:DA:05:D7:18, 2017-11-07 02:21:58, 2017-11-07 02:21:58,  -1,        1, 60:38:E0:11:9B:B2,
B4:AE:2B:D6:F7:98, 2017-11-07 01:36:17, 2017-11-07 02:09:47, -47,      305, 60:38:E0:11:9B:B2,
E4:A7:A0:7A:81:68, 2017-11-07 01:50:42, 2017-11-07 02:07:46, -80,       27, 60:38:E0:11:9B:B2,
5C:E0:C5:09:49:AD, 2017-11-07 01:58:25, 2017-11-07 02:03:58, -46,       10, 60:38:E0:11:9B:B2,
80:19:34:37:F4:97, 2017-11-07 01:37:43, 2017-11-07 01:42:21, -51,       23, 60:38:E0:11:9B:B2,
34:E6:AD:9A:27:2A, 2017-11-07 01:36:09, 2017-11-07 01:38:18, -51,       16, 60:38:E0:11:9B:B2,
84:C7:EA:2B:B3:8E, 2017-11-07 02:03:00, 2017-11-07 02:03:00, -88,        1, 60:38:E0:11:9B:B2,
18:CF:5E:6F:E6:1A, 2017-11-07 01:38:57, 2017-11-07 02:05:04, -82,      602, 60:38:E0:11:9B:B2,
A4:34:D9:7E:44:60, 2017-11-07 02:03:25, 2017-11-07 02:10:40, -72,       98, 60:38:E0:11:9B:B2,
78:4F:43:A0:9D:0F, 2017-11-07 01:36:06, 2017-11-07 02:11:15, -47,       44, 60:38:E0:11:9B:B2,
00:24:D7:1C:DF:08, 2017-11-07 01:50:30, 2017-11-07 02:12:48, -61,       55, 60:38:E0:11:9B:B2,
5C:E0:C5:D7:AF:78, 2017-11-07 01:48:08, 2017-11-07 02:19:27, -63,       65, 60:38:E0:11:9B:B2,
44:85:00:45:A1:E1, 2017-11-07 01:53:15, 2017-11-07 02:21:53, -81,     4402, 60:38:E0:11:9B:B2,
34:02:86:C7:EC:3C, 2017-11-07 02:19:23, 2017-11-07 02:22:25, -89,       80, 60:38:E0:11:9B:B2,
7C:04:D0:C4:71:46, 2017-11-07 01:54:30, 2017-11-07 02:29:12, -42,      216, 60:38:E0:11:9B:B2,
18:65:90:DD:7B:6B, 2017-11-07 02:30:55, 2017-11-07 02:31:02, -45,        7, 60:38:E0:11:9B:B2,
B8:E8:56:41:EF:4E, 2017-11-07 02:32:56, 2017-11-07 02:33:03, -47,        3, 60:38:E0:11:9B:B2,
80:E6:50:03:C4:28, 2017-11-07 02:24:08, 2017-11-07 02:34:32, -55,       86, 60:38:E0:11:9B:B2,
D4:DC:CD:F2:C4:58, 2017-11-07 01:36:06, 2017-11-07 02:34:32, -52,     6977, 60:38:E0:11:9B:B2,
68:A8:6D:4C:08:DE, 2017-11-07 01:36:09, 2017-11-07 02:34:36, -52,      495, 60:38:E0:11:9B:B2,
58:FB:84:04:4C:64, 2017-11-07 02:02:03, 2017-11-07 02:34:32, -47,     1579, 60:38:E0:11:9B:B2,
E4:F8:9C:99:65:1F, 2017-11-07 02:03:00, 2017-11-07 02:34:32, -41,     1019, 60:38:E0:11:9B:B2,
D4:DC:CD:F2:C3:96, 2017-11-07 01:36:06, 2017-11-07 02:34:32, -40,     9924, 60:38:E0:11:9B:B2,

