
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
60:38:E0:11:9B:B2, 2017-11-07 01:46:54, 2017-11-07 02:14:00,  1,  54, WEP, WEP, OPN, -53,     3291,    10491,   0.  0.  0.  0,  12, cs461mp3fa17, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
E4:F8:9C:99:65:1F, 2017-11-07 02:03:00, 2017-11-07 02:12:06, -42,      154, 60:38:E0:11:9B:B2,
E4:A7:A0:7A:81:68, 2017-11-07 01:50:42, 2017-11-07 02:07:46, -80,       27, 60:38:E0:11:9B:B2,
5C:E0:C5:09:49:AD, 2017-11-07 01:58:25, 2017-11-07 02:03:58, -46,       10, 60:38:E0:11:9B:B2,
68:A8:6D:4C:08:DE, 2017-11-07 01:47:03, 2017-11-07 01:54:23, -58,       89, 60:38:E0:11:9B:B2,
84:C7:EA:2B:B3:8E, 2017-11-07 02:03:00, 2017-11-07 02:03:00, -88,        1, 60:38:E0:11:9B:B2,
18:CF:5E:6F:E6:1A, 2017-11-07 01:47:01, 2017-11-07 02:05:04, -82,      366, 60:38:E0:11:9B:B2,
B4:AE:2B:D6:F7:98, 2017-11-07 01:47:43, 2017-11-07 02:09:47, -47,      272, 60:38:E0:11:9B:B2,
A4:34:D9:7E:44:60, 2017-11-07 02:03:25, 2017-11-07 02:10:40, -72,       98, 60:38:E0:11:9B:B2,
7C:04:D0:C4:71:46, 2017-11-07 01:54:30, 2017-11-07 02:10:36, -42,      158, 60:38:E0:11:9B:B2,
78:4F:43:A0:9D:0F, 2017-11-07 01:50:02, 2017-11-07 02:11:15, -47,       35, 60:38:E0:11:9B:B2,
00:24:D7:1C:DF:08, 2017-11-07 01:50:30, 2017-11-07 02:12:48, -61,       55, 60:38:E0:11:9B:B2,
2C:F0:EE:0D:62:2C, 2017-11-07 01:47:17, 2017-11-07 02:13:55, -84,      126, 60:38:E0:11:9B:B2,
44:85:00:45:A1:E1, 2017-11-07 01:53:15, 2017-11-07 02:13:52, -79,     4192, 60:38:E0:11:9B:B2,
5C:E0:C5:D7:AF:78, 2017-11-07 01:48:08, 2017-11-07 02:13:06, -60,       50, 60:38:E0:11:9B:B2,
D4:DC:CD:F2:C4:58, 2017-11-07 01:47:03, 2017-11-07 02:13:52, -48,     3829, 60:38:E0:11:9B:B2,
58:FB:84:04:4C:64, 2017-11-07 02:02:03, 2017-11-07 02:13:59, -50,      539, 60:38:E0:11:9B:B2,
D4:DC:CD:F2:C3:96, 2017-11-07 01:46:56, 2017-11-07 02:13:52, -38,     4983, 60:38:E0:11:9B:B2,

