
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
60:38:E0:11:9B:B2, 2017-11-07 05:13:43, 2017-11-07 06:02:04,  1,  54, WEP, WEP, OPN, -62,    14557,   105182,   0.  0.  0.  0,  12, cs461mp3fa17, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
A4:5E:60:DF:D9:CF, 2017-11-07 05:13:43, 2017-11-07 05:55:55, -82,     7399, 60:38:E0:11:9B:B2,
00:7B:C5:84:33:E8, 2017-11-07 05:41:12, 2017-11-07 05:41:12,   0,        2, 60:38:E0:11:9B:B2,
00:98:43:20:13:77, 2017-11-07 05:41:12, 2017-11-07 05:41:12,   0,        2, 60:38:E0:11:9B:B2,
00:0F:9B:63:A1:01, 2017-11-07 05:41:12, 2017-11-07 05:41:12,   0,        2, 60:38:E0:11:9B:B2,
00:3A:5F:13:CF:BE, 2017-11-07 05:41:12, 2017-11-07 05:41:12,   0,        2, 60:38:E0:11:9B:B2,
00:4B:75:5A:73:35, 2017-11-07 05:41:12, 2017-11-07 05:41:12,   0,        2, 60:38:E0:11:9B:B2,
00:24:B2:56:30:A9, 2017-11-07 05:33:33, 2017-11-07 05:33:33,   0,        2, 60:38:E0:11:9B:B2,
00:D6:5A:96:8B:E6, 2017-11-07 05:33:32, 2017-11-07 05:33:32,   0,        2, 60:38:E0:11:9B:B2,
00:C1:C4:95:2A:B9, 2017-11-07 05:33:32, 2017-11-07 05:33:32,   0,        2, 60:38:E0:11:9B:B2,
5C:E0:C5:D7:AF:78, 2017-11-07 05:24:01, 2017-11-07 05:33:31, -63,      628, 60:38:E0:11:9B:B2,
00:73:FE:7E:5B:EB, 2017-11-07 05:27:36, 2017-11-07 05:27:36,   0,        2, 60:38:E0:11:9B:B2,
00:82:1B:D4:0D:12, 2017-11-07 05:27:36, 2017-11-07 05:27:36,   0,        2, 60:38:E0:11:9B:B2,
00:F7:E0:E9:40:45, 2017-11-07 05:27:36, 2017-11-07 05:27:36,   0,        2, 60:38:E0:11:9B:B2,
00:96:29:7A:0F:46, 2017-11-07 05:27:36, 2017-11-07 05:27:36,   0,        2, 60:38:E0:11:9B:B2,
00:FE:6D:94:E2:29, 2017-11-07 05:27:36, 2017-11-07 05:27:36,   0,        2, 60:38:E0:11:9B:B2,
00:98:49:FE:0C:8F, 2017-11-07 05:27:35, 2017-11-07 05:27:35,   0,        2, 60:38:E0:11:9B:B2,
5C:E0:C5:17:41:16, 2017-11-07 05:13:43, 2017-11-07 05:21:55, -73,     4142, 60:38:E0:11:9B:B2,
5C:E0:C5:D7:AF:79, 2017-11-07 05:13:48, 2017-11-07 05:22:54, -60,      133, 60:38:E0:11:9B:B2,
4C:66:41:21:57:66, 2017-11-07 05:24:53, 2017-11-07 05:25:15, -35,        6, 60:38:E0:11:9B:B2,
00:20:F3:34:1E:FF, 2017-11-07 05:27:37, 2017-11-07 05:27:37,   0,        2, 60:38:E0:11:9B:B2,
00:C3:1C:6C:57:FE, 2017-11-07 05:27:37, 2017-11-07 05:27:37,   0,        2, 60:38:E0:11:9B:B2,
00:96:EE:28:10:FD, 2017-11-07 05:27:37, 2017-11-07 05:27:37,   0,        2, 60:38:E0:11:9B:B2,
00:6E:07:DD:57:48, 2017-11-07 05:27:37, 2017-11-07 05:27:37,   0,        2, 60:38:E0:11:9B:B2,
00:22:D9:63:F6:E6, 2017-11-07 05:27:37, 2017-11-07 05:27:37,   0,        2, 60:38:E0:11:9B:B2,
00:75:69:E4:F4:C4, 2017-11-07 05:27:38, 2017-11-07 05:27:38,   0,        2, 60:38:E0:11:9B:B2,
00:CF:14:B7:03:32, 2017-11-07 05:27:38, 2017-11-07 05:27:38,   0,        2, 60:38:E0:11:9B:B2,
00:B7:C6:4E:23:1E, 2017-11-07 05:27:38, 2017-11-07 05:27:38,   0,        2, 60:38:E0:11:9B:B2,
00:4D:B9:0C:75:CA, 2017-11-07 05:27:38, 2017-11-07 05:27:38,   0,        2, 60:38:E0:11:9B:B2,
00:09:E3:D1:E6:3B, 2017-11-07 05:27:38, 2017-11-07 05:27:38,   0,        2, 60:38:E0:11:9B:B2,
00:19:09:14:7C:FF, 2017-11-07 05:27:39, 2017-11-07 05:27:39,   0,        2, 60:38:E0:11:9B:B2,
00:FB:F2:69:DF:E6, 2017-11-07 05:27:39, 2017-11-07 05:27:39,   0,        2, 60:38:E0:11:9B:B2,
00:2D:AF:FA:E5:B2, 2017-11-07 05:27:39, 2017-11-07 05:27:39,   0,        2, 60:38:E0:11:9B:B2,
00:2C:9C:79:7A:BF, 2017-11-07 05:27:39, 2017-11-07 05:27:39,   0,        2, 60:38:E0:11:9B:B2,
00:97:C7:79:A3:3C, 2017-11-07 05:27:39, 2017-11-07 05:27:39,   0,        2, 60:38:E0:11:9B:B2,
00:43:AC:20:14:92, 2017-11-07 05:27:40, 2017-11-07 05:27:40,   0,        2, 60:38:E0:11:9B:B2,
00:5B:2E:9B:6F:AA, 2017-11-07 05:27:40, 2017-11-07 05:27:40,   0,        2, 60:38:E0:11:9B:B2,
00:9B:6A:9C:04:4A, 2017-11-07 05:27:40, 2017-11-07 05:27:40,   0,        2, 60:38:E0:11:9B:B2,
00:82:31:F9:7C:16, 2017-11-07 05:27:40, 2017-11-07 05:27:40,   0,        2, 60:38:E0:11:9B:B2,
00:AB:A8:B2:24:23, 2017-11-07 05:27:40, 2017-11-07 05:27:40,   0,        2, 60:38:E0:11:9B:B2,
00:72:BB:EA:EB:5E, 2017-11-07 05:27:41, 2017-11-07 05:27:41,   0,        2, 60:38:E0:11:9B:B2,
00:27:2E:0A:47:42, 2017-11-07 05:27:41, 2017-11-07 05:27:41,   0,        2, 60:38:E0:11:9B:B2,
00:9D:A2:70:38:11, 2017-11-07 05:27:41, 2017-11-07 05:27:41,   0,        2, 60:38:E0:11:9B:B2,
00:1B:D3:7C:B7:D7, 2017-11-07 05:27:41, 2017-11-07 05:27:41,   0,        2, 60:38:E0:11:9B:B2,
00:27:76:F1:88:64, 2017-11-07 05:41:13, 2017-11-07 05:41:13,   0,        2, 60:38:E0:11:9B:B2,
34:02:86:C7:EC:3C, 2017-11-07 05:13:51, 2017-11-07 05:48:40, -74,     1741, 60:38:E0:11:9B:B2,
D4:DC:CD:F2:C4:58, 2017-11-07 05:13:44, 2017-11-07 06:02:04, -74,    54514, 60:38:E0:11:9B:B2,
00:C0:CA:96:CA:9B, 2017-11-07 05:13:57, 2017-11-07 06:01:57, -71,    38421, 60:38:E0:11:9B:B2,
D4:DC:CD:F2:C3:96, 2017-11-07 05:13:44, 2017-11-07 06:01:58, -62,    28767, 60:38:E0:11:9B:B2,

